City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
140,Duliby,UA,2022-01-21 03:39:41,49.2313,23.8153,24.96,73,51,18.07
141,Puerto Ayora,EC,2022-01-21 03:36:21,-0.7393,-90.3518,73.09,91,79,7.61
142,Meulaboh,ID,2022-01-21 03:39:42,4.1363,96.1285,84.13,66,11,0.47
143,Yulara,AU,2022-01-21 03:39:42,-25.2406,130.9889,85.84,58,75,8.05
144,Kurya,RU,2022-01-21 03:39:43,51.6003,82.2888,-9.0,100,96,2.24
145,Gongzhuling,CN,2022-01-21 03:39:43,43.5008,124.8198,15.37,34,18,5.73
146,Kruisfontein,ZA,2022-01-21 03:39:44,-34.0033,24.7314,69.89,86,65,6.44
147,Hualmay,PE,2022-01-21 03:39:44,-11.0964,-77.6139,71.2,86,97,9.37
148,Kemijarvi,FI,2022-01-21 03:39:45,66.7131,27.4306,23.27,78,96,15.19
149,Mathathane,BW,2022-01-21 03:39:45,-22.2687,28.7495,67.64,73,0,10.45
150,Vestmannaeyjar,IS,2022-01-21 03:39:46,63.4427,-20.2734,47.28,85,100,29.53
151,Dunedin,NZ,2022-01-21 03:39:46,-45.8742,170.5036,62.65,67,98,11.14
152,Faanui,PF,2022-01-21 03:39:47,-16.4833,-151.75,81.63,75,100,17.58
153,Bambous Virieux,MU,2022-01-21 03:39:47,-20.3428,57.7575,84.22,94,40,10.36
154,Carnarvon,AU,2022-01-21 03:39:47,-24.8667,113.6333,109.47,13,0,14.97
155,Tuatapere,NZ,2022-01-21 03:39:48,-46.1333,167.6833,57.81,68,46,11.03
156,Southbridge,US,2022-01-21 03:35:10,42.0751,-72.0334,24.06,51,100,1.01
157,Sioux Lookout,CA,2022-01-21 03:39:49,50.1001,-91.917,-10.82,77,0,6.91
158,San Jeronimo,PE,2022-01-21 03:39:49,-11.9472,-75.2829,52.25,82,98,1.83
159,Imbituba,BR,2022-01-21 03:39:49,-28.24,-48.6703,80.49,95,18,7.92
160,Kaitangata,NZ,2022-01-21 03:39:50,-46.2817,169.8464,62.92,63,95,10.02
161,Lopatari,RO,2022-01-21 03:39:50,45.4833,26.5833,27.57,46,79,15.01
162,Felanitx,ES,2022-01-21 03:39:51,39.4696,3.1483,42.13,81,2,2.73
163,Palmer,US,2022-01-21 03:39:51,42.1584,-72.3287,23.22,50,40,4.0
164,Sturgis,US,2022-01-21 03:39:52,41.7992,-85.4192,19.31,57,100,0.0
165,Harnosand,SE,2022-01-21 03:39:52,62.6323,17.9379,28.0,59,1,25.61
166,Marawi,PH,2022-01-21 03:39:53,7.9986,124.2928,73.65,61,100,4.92
167,Dikson,RU,2022-01-21 03:39:53,73.5069,80.5464,8.24,95,100,14.2
168,Nizhniy Ingash,RU,2022-01-21 03:39:54,56.2,96.53,6.57,91,97,2.3
169,Airai,TL,2022-01-21 03:39:54,-8.9266,125.4092,62.02,96,100,4.29
170,Segezha,RU,2022-01-21 03:39:54,63.7415,34.3222,22.28,96,100,8.43
171,Bakchar,RU,2022-01-21 03:39:55,57.0186,82.0711,-1.88,100,79,3.62
172,Conceicao Do Araguaia,BR,2022-01-21 03:39:55,-8.2578,-49.2647,74.71,87,82,3.29
173,Poltavka,RU,2022-01-21 03:39:56,54.3663,71.7632,1.76,93,100,5.5
174,Vao,NC,2022-01-21 03:39:57,-22.6667,167.4833,76.91,88,100,16.75
175,Lorengau,PG,2022-01-21 03:39:57,-2.0226,147.2712,83.93,75,91,7.63
176,Half Moon Bay,US,2022-01-21 03:39:58,37.4636,-122.4286,59.02,79,0,5.75
177,Bull Savanna,JM,2022-01-21 03:39:58,17.8868,-77.5902,72.21,85,2,10.09
178,Baeza,ES,2022-01-21 03:39:59,37.9938,-3.471,36.27,72,0,4.97
179,Narsaq,GL,2022-01-21 03:39:59,60.9167,-46.05,25.02,90,90,9.55
180,Camacha,PT,2022-01-21 03:40:00,33.0833,-16.3333,63.36,72,20,21.85
181,Fortuna,US,2022-01-21 03:40:00,40.5982,-124.1573,51.93,94,100,1.99
182,Misratah,LY,2022-01-21 03:41:01,32.3754,15.0925,54.7,61,54,8.43
183,Butaritari,KI,2022-01-21 03:41:01,3.0707,172.7902,82.08,73,100,15.99
184,Omboue,GA,2022-01-21 03:41:02,-1.5746,9.2618,76.35,87,97,4.27
185,Kapaa,US,2022-01-21 03:41:02,22.0752,-159.319,77.32,73,20,1.01
186,Wajir,KE,2022-01-21 03:41:03,1.7471,40.0573,73.36,83,20,0.0
187,Tyup,KG,2022-01-21 03:41:03,42.7276,78.3648,18.36,84,24,2.75
188,Abonnema,NG,2022-01-21 03:41:04,4.7084,6.7931,71.89,64,97,4.92
189,Ahipara,NZ,2022-01-21 03:41:04,-35.1667,173.1667,70.52,50,20,11.83
190,Luanda,AO,2022-01-21 03:41:04,-8.8368,13.2343,73.4,88,20,6.91
191,Saint-Joseph,RE,2022-01-21 03:41:05,-21.3667,55.6167,77.38,79,40,5.08
192,Torbay,CA,2022-01-21 03:41:06,47.6666,-52.7314,42.76,94,100,17.27
193,Yangjiang,CN,2022-01-21 03:41:06,21.85,111.9667,67.95,71,98,8.19
194,Scottsbluff,US,2022-01-21 03:41:06,41.8666,-103.6672,28.78,81,0,5.99
195,Wilmington,US,2022-01-21 03:37:10,34.2257,-77.9447,49.91,88,100,6.91
196,Cherskiy,RU,2022-01-21 03:41:07,68.75,161.3,-40.27,99,21,0.45
197,Gold Coast,AU,2022-01-21 03:41:08,-28.0,153.4333,81.19,74,100,7.0
198,Pisco,PE,2022-01-21 03:41:08,-13.7,-76.2167,68.02,92,83,3.22
199,Elliot,ZA,2022-01-21 03:41:09,-31.3333,27.85,62.02,51,0,0.74
200,Lhokseumawe,ID,2022-01-21 03:37:20,5.1801,97.1507,83.12,68,6,1.63
201,Champerico,GT,2022-01-21 03:41:09,14.3,-91.9167,77.29,74,3,9.24
202,Longyearbyen,SJ,2022-01-21 03:41:10,78.2186,15.6401,8.44,78,45,6.91
203,Minsk,BY,2022-01-21 03:37:22,53.9,27.5667,26.35,93,100,19.06
204,Christchurch,NZ,2022-01-21 03:41:06,-43.5333,172.6333,73.33,58,44,10.36
205,Valdosta,US,2022-01-21 03:36:47,30.8327,-83.2785,57.11,96,100,6.91
206,Kenai,US,2022-01-21 03:41:11,60.5544,-151.2583,26.1,93,100,18.41
207,Batagay-Alyta,RU,2022-01-21 03:41:12,67.8006,130.4114,-17.59,88,77,4.05
208,Mahebourg,MU,2022-01-21 03:41:12,-20.4081,57.7,84.25,94,40,10.36
209,Emba,KZ,2022-01-21 03:41:13,48.8264,58.1442,1.99,92,73,7.31
210,Tabuk,PH,2022-01-21 03:41:13,17.4189,121.4443,73.22,87,91,3.58
211,Iracoubo,GF,2022-01-21 03:41:13,5.4802,-53.2011,76.59,90,80,12.03
212,Balkhash,KZ,2022-01-21 03:41:14,46.844,74.9804,12.81,79,75,20.13
213,Sakaiminato,JP,2022-01-21 03:41:14,35.55,133.2333,42.78,56,75,11.5
214,Kudahuvadhoo,MV,2022-01-21 03:41:15,2.6708,72.8944,80.87,70,72,10.63
215,Tiksi,RU,2022-01-21 03:41:15,71.6872,128.8694,-14.01,96,59,11.05
216,Vila Franca Do Campo,PT,2022-01-21 03:41:16,37.7167,-25.4333,59.41,85,9,14.38
217,Dahuk,IQ,2022-01-21 03:41:16,36.8695,42.994,15.48,79,11,5.79
218,Popondetta,PG,2022-01-21 03:41:16,-8.7537,148.2534,80.62,80,100,0.76
219,Invermere,CA,2022-01-21 03:41:17,50.5167,-116.0354,18.36,95,84,1.3
220,Tazovskiy,RU,2022-01-21 03:41:17,67.4667,78.7,11.52,87,97,18.16
221,Bongandanga,CD,2022-01-21 03:41:18,1.5,21.05,68.4,83,63,2.44
222,Poum,NC,2022-01-21 03:41:18,-20.2333,164.0167,81.72,78,100,13.24
223,Komsomolskiy,UZ,2022-01-21 03:41:19,40.4272,71.7189,29.62,80,0,9.22
224,Roseburg,US,2022-01-21 03:41:19,43.2165,-123.3417,50.49,88,0,3.44
225,Steinbach,DE,2022-01-21 03:41:20,50.1667,8.5667,34.57,82,20,6.91
226,Puerto Escondido,MX,2022-01-21 03:41:20,15.85,-97.0667,77.83,73,20,0.0
227,Ajdabiya,LY,2022-01-21 03:41:21,30.7554,20.2263,51.6,74,69,6.85
228,Shache,CN,2022-01-21 03:42:21,38.4167,77.2406,31.08,35,11,4.03
229,Urengoy,RU,2022-01-21 03:42:22,65.9667,78.3667,10.87,93,15,15.64
230,Nantucket,US,2022-01-21 03:42:22,41.2835,-70.0995,34.09,64,100,21.85
